id	direction	origin_kind	producer	fetch_api	current_policy	wrapper_chain	terminal_consumer	operation	byte_range	oos_capable	classification	required_handling	current_handling	verdict	evidence	test	finding_id	followup
F-001	forward	plumbing	heap_record_replace_oos_oids	heap_record_replace_oos_oids	PROPAGATE(context->recdes_consumption_policy)	(policy sink)	heap_oos_build_record / return S_SUCCESS	expand stubs iff CONSUME_RAW_BYTES else preserve stored form	full (rebuilds VOT+var area) when expanding	yes (any heap instance record)	PROPAGATE	honor context policy: CONSUME->expand, DONT->preserve	same	CORRECT	heap_oos.cpp:351 heap_record_replace_oos_oids; branch on context->recdes_consumption_policy==HEAP_RECDES_DONT_CONSUME_RAW_BYTES (heap_oos.cpp:362) returns early; else heap_oos_parse_vot/read_values/build_record	none	-	field is recdes_consumption_policy (not expand_oos); expand_oos is only a local bool alias at heap_file.c:26218
F-002	forward	plumbing	heap_init_get_context	heap_init_get_context	PROPAGATE(param)	(sets context)	heap_get_record_data_when_all_ready	stores caller policy into HEAP_GET_CONTEXT	n/a	n/a	PROPAGATE	copy param to context->recdes_consumption_policy after asserting validity	same	CORRECT	heap_file.c:26747 heap_init_get_context; asserts HEAP_IS_VALID_RECDES_CONSUMPTION_POLICY (26751); context->recdes_consumption_policy=recdes_consumption_policy (26778)	none	-	-
F-003	forward	heap_fetch	heap_get_visible_version	heap_record_replace_oos_oids	PROPAGATE(param)	heap_get_visible_version->heap_get_visible_version_internal->heap_get_record_data_when_all_ready->heap_record_replace_oos_oids	(caller-dependent)	single-oid visible-version fetch	depends on caller policy	yes	PROPAGATE	forward caller policy through context	same	CORRECT	heap_file.c:26168 heap_get_visible_version; heap_init_get_context(...,recdes_consumption_policy) 26176; heap_get_visible_version_internal 26179	none	-	public API; reverse audit enumerates its callers
F-004	forward	heap_scan	heap_scan_get_visible_version / _impl	heap_record_replace_oos_oids	PROPAGATE(param)	heap_scan_get_visible_version->heap_scan_get_visible_version_impl->heap_get_visible_version_internal->...->heap_record_replace_oos_oids	(caller-dependent)	heap-scan visible-version fetch with peeked-record fast path	depends on caller policy	yes	PROPAGATE	forward caller policy; fast-path shortcut must not skip needed expand	same	CORRECT	heap_file.c:26332/26210; expand_oos=(policy==CONSUME) 26218; shortcut disabled when expand_oos && heap_recdes_contains_oos(peeked) 26240-26243	none	-	fast-path shortcut correctly consulted heap_recdes_contains_oos before returning peeked bytes
F-005	forward	plumbing	heap_get_visible_version_internal	heap_record_replace_oos_oids	PROPAGATE(context)	...->heap_get_visible_version_internal	heap_get_record_data_when_all_ready OR heap_get_visible_version_from_log+replace	route current-version and prev-version(log) fetches	depends on policy	yes	PROPAGATE	both current and prev-version(undo log) paths honor policy	same	CORRECT	heap_file.c:26374; prev-version path calls heap_record_replace_oos_oids at 26444 (guarded by recdes_p!=NULL); current path heap_get_record_data_when_all_ready 26466	none	-	undo-log/prev-version reconstruction also expands when CONSUME
F-006	forward	plumbing	heap_get_record_data_when_all_ready	heap_record_replace_oos_oids	PROPAGATE(context)	...->heap_get_record_data_when_all_ready	heap_record_replace_oos_oids (REC_HOME/REC_RELOCATION); heap_get_bigone_content (REC_BIGONE)	fetch record body then expand per policy	full when expanding	yes for REC_HOME/RELOCATION; no for REC_BIGONE	PROPAGATE	expand REC_HOME/RELOCATION per policy; REC_BIGONE never OOS	same	CORRECT	heap_file.c:7426; REC_RELOCATION->replace_oos 7460; REC_HOME->replace_oos 7482; REC_BIGONE->heap_get_bigone_content 7463	none	-	REC_BIGONE excluded: OOS+bigone rejected at write (ER_HEAP_OOS_OVERPASS_MAXOBJ_SIZE, CBRD-26937) so bigone carries no stubs
F-007	forward	plumbing	heap_get_visible_version_from_log(caller)	heap_record_replace_oos_oids	PROPAGATE(context)	heap_get_visible_version_internal(TOO_NEW)->heap_get_visible_version_from_log->heap_record_replace_oos_oids	heap_record_replace_oos_oids	expand prev-version undo recdes per policy	full when expanding	yes	PROPAGATE	expand reconstructed prev version iff CONSUME	same	CORRECT	heap_file.c:26438 heap_get_visible_version_from_log; then 26444 heap_record_replace_oos_oids when recdes_p!=NULL	none	-	recdes_p NULL (existence-only, e.g. compactdb) skips expand safely
F-008	forward	heap_fetch	heap_get_last_version	heap_record_replace_oos_oids	PROPAGATE(context)	heap_get_last_version->heap_get_record_data_when_all_ready->heap_record_replace_oos_oids	(caller-dependent)	update/delete latest-version fetch	depends on caller policy	yes	PROPAGATE	forward context policy	same	CORRECT	heap_file.c:26596 heap_get_last_version; heap_get_record_data_when_all_ready 26640ish honors context->recdes_consumption_policy	none	-	callers set policy via heap_init_get_context before calling (e.g. heap_get_class_record uses DONT)
F-009	forward	heap_scan	heap_next	heap_next_internal	PROPAGATE(param)	heap_next->heap_next_internal->heap_scan_get_visible_version_impl->...	(caller-dependent)	forward heap iteration	depends on caller policy	yes	PROPAGATE	forward caller policy to heap_next_internal	same	CORRECT	heap_file.c:20003 heap_next; heap_next_internal(...,recdes_consumption_policy,false,NULL) 20012	none	-	-
F-010	forward	heap_scan	heap_prev	heap_next_internal	PROPAGATE(param)	heap_prev->heap_next_internal(reversed)->...	(caller-dependent)	backward heap iteration	depends on caller policy	yes	PROPAGATE	forward caller policy	same	CORRECT	heap_file.c:20053 heap_prev; heap_next_internal(...,recdes_consumption_policy,true,NULL) 20062	none	-	-
F-011	forward	plumbing	heap_next_internal	heap_scan_get_visible_version_impl / heap_get_record_info	PROPAGATE(param)	heap_next_internal->{heap_scan_get_visible_version_impl | heap_get_record_info}	(caller-dependent)	slot walk + visible fetch OR record-info	depends; record-info=header/CHN only	yes	PROPAGATE	record fetch honors policy; get_rec_info branch reads header only (policy N/A)	same	CORRECT	heap_file.c:7509 heap_next_internal; non-recinfo path heap_scan_get_visible_version_impl 7859 passes recdes_consumption_policy; get_rec_info path heap_get_record_info 7850 (no policy param)	none	-	record-info scans always pass DONT via heap_next_record_info/heap_prev_record_info
F-012	forward	wrapper	heap_first	heap_next	DONT_CONSUME_RAW_BYTES (hardcoded)	heap_first->heap_next	(external callers, see F-026..F-029)	fetch first heap object	depends on caller	yes	PROPAGATE	match every caller	fixed DONT_CONSUME	CORRECT	heap_file.c:8168 heap_first; hardcoded HEAP_RECDES_DONT_CONSUME_RAW_BYTES 8176-8177	none	-	all traced callers either attr-layer or non-OOS-capable fixed heaps (see caller rows)
F-013	forward	wrapper	heap_last	heap_prev	DONT_CONSUME_RAW_BYTES (hardcoded)	heap_last->heap_prev	heap_scanrange_to_prior (only caller)	fetch last heap object	positioning only	yes	PROPAGATE	match caller	fixed DONT_CONSUME	CORRECT	heap_file.c:8197 heap_last; hardcoded 8205-8206; sole caller heap_scanrange_to_prior 8468 discards recdes	none	-	no external callers (rg): only heap_scanrange_to_prior
F-014	forward	wrapper	heap_next_1page	heap_scan_get_visible_version	DONT_CONSUME_RAW_BYTES (hardcoded)	heap_next_1page->heap_scan_get_visible_version	(external callers, see F-030..F-033)	fetch next record within one page (parallel/sample scans)	depends on caller	yes	PROPAGATE	match callers	fixed DONT_CONSUME	CORRECT	heap_file.c:7935 heap_next_1page; heap_scan_get_visible_version(...,HEAP_RECDES_DONT_CONSUME_RAW_BYTES,is_cached_scan) 8098-8100	none	-	all callers consume via attribute layer / header (see caller rows)
F-015	forward	heap_fetch	heap_does_exist	heap_get_visible_version	DONT_CONSUME_RAW_BYTES	heap_does_exist->heap_get_visible_version	(none; recdes NULL)	existence / not-deleted check	none (recdes==NULL)	n/a	NO_BODY	stored form; no body read	DONT_CONSUME	CORRECT	heap_file.c:8790 heap_does_exist; heap_get_visible_version(...,NULL recdes,...,DONT) 8975-8977	none	-	record body never materialized
F-016	forward	heap_scan	heap_dump	heap_next	DONT_CONSUME_RAW_BYTES	heap_dump->heap_next	heap_attrinfo_read_dbvalues + peek_recdes.length	dump each object via attribute layer	header/length metadata + attribute layer values	yes	RESOLVE	attr layer resolves OOS per column	DONT_CONSUME	CORRECT	heap_file.c:15624 heap_next(...,DONT); consumed by heap_attrinfo_read_dbvalues 15630 and peek_recdes.length 15627	none	-	reads .length (metadata) not body bytes; value read is attr-layer Resolve
F-017	forward	wrapper	heap_next_record_info	heap_next_internal / heap_get_record_info	DONT_CONSUME_RAW_BYTES (hardcoded)	heap_next_record_info->heap_next_internal->heap_get_record_info	heap_get_record_info (see F-037)	forward record-info scan	header/CHN/repid/MVCC only + recdes returned	yes	STORED_SAFE	header-only in get_record_info; caller reads via attr layer	fixed DONT_CONSUME	CORRECT	heap_file.c:20034 heap_next_record_info; heap_next_internal(...,DONT,false,cache_recordinfo) 20039	none	-	-
F-018	forward	wrapper	heap_prev_record_info	heap_next_internal / heap_get_record_info	DONT_CONSUME_RAW_BYTES (hardcoded)	heap_prev_record_info->heap_next_internal->heap_get_record_info	heap_get_record_info (see F-038)	backward record-info scan	header/CHN/repid/MVCC only + recdes returned	yes	STORED_SAFE	header-only + caller attr layer	fixed DONT_CONSUME	CORRECT	heap_file.c:20084 heap_prev_record_info; heap_next_internal(...,DONT,true,cache_recordinfo) 20089	none	-	-
F-019	forward	wrapper	heap_get_class_record	heap_get_last_version	DONT_CONSUME_RAW_BYTES (hardcoded)	heap_get_class_record->heap_get_last_version->heap_get_record_data_when_all_ready->heap_record_replace_oos_oids	(external callers, see F-039..F-042)	fetch class object (root class instance)	depends on caller; many parse raw via or_get_classrep	no (class records bypass demotion: tf_class_to_disk client serialization + raw locator force; cf. X-519, R-508, F-101)	STORED_SAFE	stored form OK (class records stub-free by provenance)	fixed DONT_CONSUME	CORRECT	heap_file.c:26837 heap_get_class_record; hardcoded HEAP_RECDES_DONT_CONSUME_RAW_BYTES 26849-26850; adjudicated vs FIND-03: provenance-based, see FINDINGS.md	none	FIND-03	FU-05: add defensive HAS_OOS guard/comment on class-record write path
