R-101	reverse	cdc_undo_image	cdc_get_recdes	log_get_undo_record	-	cdc_get_recdes->cdc_get_undo_record->log_get_undo_record	cdc_make_dml_loginfo	reconstruct stored-form undo (old-row) heap image from WAL undo record	full	yes	STORED_SAFE	produce stored-form image with OOS stubs intact (invariant 2); do not expand at reconstruction	stored-form image built as-is; no expand, no raw value parse here	CORRECT	src/transaction/log_manager.c:11286 cdc_get_undo_record; :11305 log_get_undo_record; :11456,11484,11515 dispatch by rcvindex (RVHF_DELETE/UPDATE, RVHF_MVCC_DELETE_MODIFY_HOME/UPDATE_NOTIFY_VACUUM)	-	R2-CDC-STOREDFORM	-
R-102	reverse	cdc_redo_image	cdc_get_recdes	logpb_copy_from_log	-	cdc_get_recdes->(RVHF_MVCC_INSERT/RVHF_UPDATE_NOTIFY_VACUUM/RVHF_UPDATE redo build)	cdc_make_dml_loginfo	reconstruct stored-form redo (new-row) heap image from WAL redo data (unzip + optional log_diff + OR header rebuild)	full	yes	STORED_SAFE	produce stored-form new image with OOS stubs intact; VOT IS_OOS bits copied verbatim in body	body (VOT + variable area incl. OOS stubs) memcpy verbatim; OR header/CHN rebuilt; no value expand	CORRECT	src/transaction/log_manager.c:11640-11880 redo build; :11745-11763 OR header rebuild + body memcpy; :11884 LOG_UNDOREDO_DATA	-	R2-CDC-STOREDFORM	-
R-103	reverse	cdc_undo_image	cdc_make_dml_loginfo	heap_attrinfo_read_dbvalues	-	cdc_make_dml_loginfo->heap_attrinfo_read_dbvalues->heap_attrinfo_read_dbvalues_with_oos_prefetch->heap_attrvalue_read->heap_attrvalue_point_variable->heap_attrvalue_read_oos_inline->oos_read	cdc_put_value_to_loginfo (packed DB_VALUE)	read old-row column values (cond/PK columns) from undo_recdes	variable	yes	RESOLVE	attribute-layer OOS Resolve per column via heap_attrvalue_point_variable OR_IS_OOS -> oos_read	heap_attrinfo_read_dbvalues resolves OOS-backed attrs; DB_VALUEs deep-cloned then packed logically	CORRECT	src/transaction/log_manager.c:13006 heap_attrinfo_read_dbvalues(undo); src/storage/heap_file.c:10944,10688-10716,10613,10476-10479,10419 oos_read	-	R2-CDC-RESOLVE-OK	-
R-104	reverse	cdc_redo_image	cdc_make_dml_loginfo	heap_attrinfo_read_dbvalues	-	cdc_make_dml_loginfo->heap_attrinfo_read_dbvalues->...->oos_read	cdc_put_value_to_loginfo (packed DB_VALUE)	read new-row column values (changed columns) from redo_recdes	variable	yes	RESOLVE	attribute-layer OOS Resolve per column	heap_attrinfo_read_dbvalues resolves OOS-backed attrs; values packed logically via cdc_put_value_to_loginfo	CORRECT	src/transaction/log_manager.c:13067 heap_attrinfo_read_dbvalues(redo); :13170,13213,13231 cdc_put_value_to_loginfo	-	R2-CDC-RESOLVE-OK	-
R-105	reverse	flashback	flashback_make_loginfo	cdc_get_recdes	-	flashback_make_loginfo->cdc_get_recdes(redo,is_flashback=true)->...; ->cdc_make_dml_loginfo(is_flashback=true)->heap_attrinfo_read_dbvalues->oos_read	flashback_pack_loginfo -> client (util_cs flashback)	INSERT: materialize new-row values for flashback loginfo	variable	yes	RESOLVE	same attribute-layer Resolve as CDC; ship packed DB_VALUE loginfo, never raw recdes	identical path to CDC via is_flashback flag; resolves OOS	FOLLOWUP	src/transaction/flashback.c:947 cdc_get_recdes; :961 cdc_make_dml_loginfo; :685 flashback_pack_loginfo memcpy(entry->log_info)	-	R2-FLASHBACK-LIFETIME	R-110
R-106	reverse	flashback	flashback_make_loginfo	cdc_get_recdes	-	flashback_make_loginfo->cdc_get_recdes(undo+redo,is_flashback=true)->cdc_make_dml_loginfo(is_flashback=true)->heap_attrinfo_read_dbvalues->oos_read	flashback_pack_loginfo -> client	UPDATE: materialize old (cond) + new (changed) values	variable	yes	RESOLVE	attribute-layer Resolve for both undo and redo images	resolves OOS both sides; REC_ASSIGN_ADDRESS undo treated as INSERT (redo only)	FOLLOWUP	src/transaction/flashback.c:990 cdc_get_recdes; :1004 REC_ASSIGN_ADDRESS branch; :1021 cdc_make_dml_loginfo	-	R2-FLASHBACK-LIFETIME	R-110
R-107	reverse	flashback	flashback_make_loginfo	cdc_get_recdes	-	flashback_make_loginfo->cdc_get_recdes(undo,is_flashback=true)->cdc_make_dml_loginfo(is_flashback=true)->heap_attrinfo_read_dbvalues->oos_read	flashback_pack_loginfo -> client	DELETE: materialize old-row (cond/PK) values	variable	yes	RESOLVE	attribute-layer Resolve of undo image	resolves OOS; packed logically	FOLLOWUP	src/transaction/flashback.c:1050 cdc_get_recdes(undo)	-	R2-FLASHBACK-LIFETIME	R-110
R-108	reverse	supplemental_log	log_append_supplemental_undo_record	-	-	log_append_supplemental_undo_record->log_append_supplemental_info(LOG_SUPPLEMENT_UNDO_RECORD); consume: cdc_get_undo_record(LOG_SUPPLEMENTAL_INFO)	cdc_make_dml_loginfo (via cdc_get_recdes LOG_SUPPLEMENTAL_INFO branch)	log a stored-form undo recdes image into supplemental log for CDC	full	yes	PRESERVE_PHYSICAL	store recdes bytes verbatim (type + data incl. OOS stubs); resolve only at consumption	image stored as-is (memcpy type+data); later read + resolved via attribute layer	CORRECT	src/transaction/log_manager.c:4968 log_append_supplemental_undo_record; :11454 LOG_SUPPLEMENTAL_INFO->cdc_get_undo_record; src/transaction/flashback.c:424 cdc_get_undo_record	-	R2-SUPPL-PHYS	-
R-109	reverse	cdc_undo_image	cdc_get_overflow_recdes	-	-	cdc_get_recdes->cdc_get_overflow_recdes (RVOVF_CHANGE_LINK/RVOVF_NEWPAGE_LINK/RVOVF_PAGE_UPDATE)	cdc_make_dml_loginfo->heap_attrinfo_read_dbvalues	reconstruct overflow (REC_BIGONE) undo/redo image	full	no	STORED_SAFE	none needed: OOS+bigone is rejected at write (CBRD-26937) so overflow images carry no OOS stubs; if any present, attr layer would still Resolve	overflow path reconstructs bigone image; OOS stubs cannot coexist with REC_BIGONE	CORRECT	src/transaction/log_manager.c:11522,11553 cdc_get_overflow_recdes dispatch; OOS-CONTEXT ER_HEAP_OOS_OVERPASS_MAXOBJ_SIZE rejection	-	R2-OVF-NOOOS	-
R-110	reverse	flashback	oos_read	-	-	flashback/CDC undo-image Resolve -> oos_read follows old-version head OOS OID into OOS value chain	oos_read (OOS file chunk fetch)	resolve OLD-version OOS-backed attribute whose value chain may already be vacuum-reclaimed	variable	yes	RESOLVE	old OOS value chains must survive until the consumer reads them; no retention/pin exists for CDC/flashback	code attempts Resolve unconditionally; no guard that the old value chain still lives (vacuum reclaims on old-version cleanup; slot reuse CBRD-26950)	FOLLOWUP	src/storage/oos_file.cpp:1684 oos_read; OOS-CONTEXT invariant 2/3 (old chains live until vacuum) + CBRD-26950 slot reuse; missing-feature note "CDC flashback OOS-stub Resolve"	-	R2-FLASHBACK-LIFETIME	-
