# Candidate review against the pre-run oracle (1190 predicted (length, digest) pairs)

OK    cbrd_26659_oos_rep02_largest_first              34 lines,    3 result rows
OK    cbrd_26659_oos_rep06_lob_neighbours             68 lines,   10 result rows
OK    cbrd_26659_oos_sql01_insert_select             124 lines,   16 result rows
OK    cbrd_26659_oos_sql02_mixed_chunks               46 lines,    6 result rows
OK    cbrd_26659_oos_sql02_update                    220 lines,   11 result rows
OK    cbrd_26659_oos_sql05_delete                    118 lines,   22 result rows
OK    cbrd_26659_oos_sql06_constraints                80 lines,   11 result rows
OK    cbrd_26659_oos_sql06_rollback                  120 lines,   20 result rows
OK    cbrd_26659_oos_sql06_triggers                  131 lines,   13 result rows

RESULT: every candidate matches the oracle
